"rowid" "kepid" "kepoi.Name" "koi.period" "koi.period.err1" "koi.period.err2" "koi.duration" "koi.duration.err1" "koi.duration.err2" "koi.depth" "koi.depth.err1" "koi.depth.err2" "koi.ror" "koi.ror.err1" "koi.ror.err2" "koi.srho" "koi.srho.err1" "koi.srho.err2" "koi.prad" "koi.prad.err1" "koi.prad.err2" "koi.insol" "koi.insol.err1" "koi.insol.err2" "koi.steff" "koi.steff.err1" "koi.steff.err2" "koi.slogg" "koi.slogg.err1" "koi.slogg.err2" "koi.srad" "koi.srad.err1" "koi.srad.err2" "koi.smass" "koi.smass.err1" "koi.smass.err2"
437 10878263 K00341.01 7.170732075 7.987e-06 -7.987e-06 2.9407 0.0358 -0.0358 921.3 11.3 -11.3 0.02902 0.002049 -0.001458 1.298 1.14459 -0.05942 3.0 0.54 -0.25 151.65 76.0 -32.88 5523.0 103.0 NaN 4.437 0.078 -0.134 0.946 0.171 -0.078 0.892 0.063 -0.042
460 11568987 K00354.01 15.95994513 2.216e-05 -2.216e-05 4.3653 0.0358 -0.0358 544.1 7.3 -7.3 0.021262 0.000372 -0.000216 1.7083 0.07826 -0.37705 2.24 0.34 -0.1 63.95 26.96 -10.79 5936.0 102.0 -131.0 4.501 0.022 -0.127 0.965 0.147 -0.045 1.075 0.041 -0.081
477 8494142 K00370.01 42.88232415 9.342e-05 -9.342e-05 9.7716 0.0763 -0.0763 377.5 4.2 -4.2 0.018978 0.000845 -0.001092 0.15669 0.20909 -0.01493 3.83 0.11 -0.1 63.25 8.19 -7.4 6144.0 106.0 -106.0 4.022 0.012 -0.012 1.85 0.05 -0.05 1.319 0.101 -0.101
535 5791986 K00413.02 24.67464211 8.292e-05 -8.292e-05 3.0887 0.0801 -0.0801 670.8 22.1 -22.1 0.023409 0.00087 -0.000477 7.40274 0.58269 -2.51845 2.09 0.82 -0.17 21.16 25.2 -5.08 5460.0 172.0 -143.0 4.553 0.033 -0.251 0.818 0.32 -0.066 0.874 0.093 -0.082
557 10717241 K00430.01 12.3764661 1.298e-05 -1.298e-05 2.7534 0.0472 -0.0472 1771.0 22.4 -22.4 0.040251 0.00331 -0.00188 2.78093 2.51358 -0.7465 2.11 0.26 -0.26 6.12 2.45 -1.72 3797.0 98.0 -58.0 4.783 0.075 -0.075 0.48 0.06 -0.06 0.51 0.06 -0.06
601 7440748 K00457.02 7.064256441 6.605e-06 -6.605e-06 1.3826 0.0282 -0.0282 733.0 15.8 -15.8 0.024226 0.001015 -0.000271 24.23054 3.18123 -7.12598 1.96 0.31 -0.15 72.02 38.15 -16.23 5079.0 160.0 -130.0 4.609 0.027 -0.101 0.739 0.12 -0.054 0.817 0.078 -0.089
675 6266741 K00508.02 16.66591162 3.044e-05 -3.044e-05 4.1701 0.0531 -0.0531 781.6 13.8 -13.8 0.025194 0.00076 -0.000298 2.08535 0.04597 -0.64012 2.72 0.4 -0.13 52.11 21.46 -9.09 5655.0 107.0 -126.0 4.481 0.03 -0.125 0.99 0.143 -0.049 1.081 0.048 -0.08
701 8806123 K00523.01 49.41117582 6.312e-05 -6.312e-05 5.3113 0.0769 -0.0769 3584.8 34.4 -34.4 0.064244 0.00039 -0.001007 0.56415 0.08656 -0.04231 7.48 3.91 -0.76 20.87 32.54 -6.15 6220.0 156.0 -207.0 4.414 0.061 -0.319 1.066 0.557 -0.108 1.07 0.245 -0.119
727 11823054 K00543.01 4.302143627 4.721e-06 -4.721e-06 1.9687 0.0294 -0.0294 767.4 13.8 -13.8 0.025041 0.000598 -0.000379 4.86015 0.44691 -1.17166 2.08 0.53 -0.15 174.86 136.76 -39.06 5324.0 170.0 -135.0 4.597 0.027 -0.155 0.761 0.193 -0.055 0.84 0.089 -0.09
731 12058931 K00546.01 20.68422311 5.199e-05 -5.199e-05 6.4615 0.089 -0.089 952.8 16.8 -16.8 0.029485 5.2e-05 -0.001454 0.37705 0.32573 -0.02488 3.69 2.22 -0.43 71.48 131.9 -22.23 6215.0 163.0 -195.0 4.397 0.062 -0.343 1.145 0.689 -0.132 1.195 0.253 -0.188
