"KOI" "P.int" "P.ext" "j" "Delta" "f" "g" "Re.V.int" "sig.Re.V.int" "Im.V.int" "sig.Im.V.int" "Re.V.ext" "sig.Re.V.ext" "Im.V.ext" "si.Im.V.ext" 
1106 7.425992 15.98467 2 0.07626496 -1.02221708 0.33916999 -0.002523 0.001574 0.000399 0.001742 -0.007629 0.005304 0.004951 0.005237
1165 4.2928 7.053943 3 0.09546885 -1.43213846 1.9207338 -0.00369 0.003502 -0.00763 0.003921 0.000837 0.00064 0.001364 0.000668
1175 17.15714 31.59334 2 -0.07929468 -1.36444831 0.52117478 0.004386 0.007087 -0.009626 0.007014 0.000841 0.005615 0.002648 0.005882
1215 17.3244 33.0059 2 -0.04741578 -1.29431472 0.48387647 0.007162 0.002047 -0.009234 0.002124 0.006507 0.004238 -0.009306 0.002951
1241 10.50343 21.40505 2 0.01895524 -1.14829848 0.40622237 0.086736 0.009075 0.036832 0.007996 0.033371 0.003703 -0.001399 0.003824
1270 5.729319 11.609257 2 0.01314458 -1.16108192 0.41302084 -0.003472 0.000506 -0.000731 0.000574 -0.025259 0.001554 -0.002784 0.001652
1279 9.6519 14.37438 3 -0.00714678 -2.0693815 2.526166 0.001583 0.003801 -0.000374 0.00339 0.001634 0.001388 -0.000443 0.001234
1316 7.64951 12.37679 3 0.07865645 -1.53654342 2.01992692 0.000557 0.003597 0.000662 0.003549 NaN 2.0 NaN 2.0
1363 3.546534 5.70078 3 0.07161527 -1.58026916 2.06146989 0.000606 0.001567 -0.001321 0.00144 -0.00005 0.002298 -0.001656 0.002432
1404 13.32411 18.906263 3 -0.05403249 -2.36054178 2.8027917 0.00125 0.002334 0.004077 0.002616 -0.005803 0.004727 -0.007069 0.004909
1529 11.86817 17.98012 3 0.00999115 -1.96295496 2.42505222 -0.017226 0.005684 0.005001 0.004951 -0.046572 0.003869 0.007179 0.003159
1593 9.69483 15.3823 3 0.05776653 -1.66626986 2.14317749 -0.000262 0.002406 -0.003105 0.002389 0.00958 0.00398 -0.004222 0.003472
1760 5.524233 8.77514 3 0.05898743 -1.65868803 2.13597414 0.001362 0.00203 0.00029 0.002097 -0.004769 0.003775 0.000068 0.003866
1783 134.47972 284.0423 2 0.05607857 -1.06662715 0.36278808 0.023138 0.007879 0.003655 0.001723 NaN 2.0 NaN 2.0
1824 1.678338 3.553801 2 0.05872625 -1.06080225 0.35969029 0.000014 0.000643 -0.000458 0.000596 -0.000833 0.000788 -0.001785 0.00074
1843 4.194525 6.356006 3 0.01020672 -1.96161628 2.42378036 -0.000182 0.000642 0.001377 0.000671 -0.002631 0.00257 0.003781 0.002825
1873 34.918564 71.3101 2 0.02109154 -1.1435986 0.40372289 -0.005187 0.016267 -0.035146 0.008989 0.015454 0.013687 -0.010252 0.009054
1889 9.18186 14.3052 3 0.03865666 -1.78494217 2.25592573 -0.000439 0.004129 -0.002472 0.00439 -0.003771 0.001949 -0.006166 0.002187
1891 8.2598 15.95522 2 -0.03416427 -1.26516138 0.46837219 -0.001644 0.002633 -0.001606 0.00265 -0.002321 0.001849 0.00193 0.001742
1899 10.52249 19.76191 2 -0.06096798 -1.32412956 0.49973254 -0.000611 0.006847 0.002607 0.00724 0.002074 0.001968 -0.003596 0.00181
1908 12.55096 24.08826 2 -0.04038177 -1.2788399 0.47564667 -0.001003 0.001761 -0.000144 0.001625 -0.01133 0.003154 -0.002668 0.002897
1932 14.84451 22.82485 3 0.0250636 -1.86935505 2.33612476 -0.001332 0.007515 -0.000561 0.007543 -0.004037 0.005542 -0.015067 0.005827
1940 6.7368 10.994615 3 0.08801558 -1.47842327 1.9647081 NaN 2.0 NaN 2.0 0.001447 0.000842 -0.001758 0.000891
1977 7.41538 9.387512 5 0.01276126 -3.39286059 3.83056136 -0.005306 0.002455 -0.003089 0.00225 -0.004537 0.00085 -0.001568 0.000997
1992 12.79838 27.321145 2 0.06736732 -1.04179191 0.34958024 -0.000317 0.00272 0.000753 0.002522 0.021448 0.007431 0.00612 0.005955
1996 7.073944 10.13195 3 -0.04513897 -2.30531303 2.75031995 NaN 2.0 NaN 2.0 0.001602 0.001653 -0.000841 0.001502
2022 5.929774 12.24769 2 0.03272823 -1.1179979 0.39010797 -0.000304 0.001068 -0.00075 0.001216 0.001315 0.001613 -0.000038 0.001686
2034 2.370344 3.609319 3 0.01513213 -1.93102944 2.39472041 -0.000849 0.002676 -0.00307 0.002783 0.000861 0.00069 0.000834 0.000687
2036 5.7953 8.410953 3 -0.03243974 -2.22645076 2.67539444 0.004531 0.003086 0.002955 0.003045 -0.000203 0.001736 0.001147 0.001611
2111 3.289684 7.186476 2 0.09227452 -0.98699606 0.32043882 0.001877 0.001576 -0.001449 0.001618 0.00249 0.001163 0.000006 0.001309
2113 12.33108 15.94274 4 -0.03033189 -3.2100491 3.64394953 -0.001522 0.001679 0.001061 0.001662 0.002887 0.00183 -0.000615 0.001584
2158 4.562143 6.682357 3 -0.02350618 -2.17097339 2.62268648 -0.000043 0.002153 -0.001982 0.00204 -0.000011 0.004451 -0.001655 0.004493
2162 108.593 199.670504 2 -0.08064745 -1.36742438 0.52275751 0.001469 0.004069 0.008169 0.004665 -0.021542 0.011723 -0.003471 0.00897
2173 37.81526 53.5782 3 -0.05543952 -2.36927944 2.81109319 0.001108 0.002016 -0.004446 0.002531 -0.004414 0.003232 -0.000393 0.003454
2209 18.30216 35.502443 2 -0.03010237 -1.25622521 0.46361977 0.003752 0.004586 0.000445 0.004109 NaN 2.0 NaN 2.0
2236 12.12665 19.98795 3 0.09884428 -1.41117702 1.90081874 0.001461 0.003756 -0.001321 0.003459 -0.00627 0.003804 0.001559 0.004211
2243 5.185444 8.458076 3 0.08741265 -1.48216743 1.96826535 0.00226 0.00222 -0.00222 0.002296 -0.005367 0.00287 0.00415 0.003006
2257 32.56265 59.284447 2 -0.08968639 -1.38731007 0.53333308 -0.001356 0.003434 0.009877 0.003465 -0.001317 0.006123 0.004228 0.00593
2279 12.50948 27.01559 2 0.07980468 -1.01442971 0.33502853 0.005094 0.003712 -0.001233 0.004265 -0.002438 0.003495 -0.002381 0.00286
2303 4.893489 8.934904 2 -0.08706202 -1.38153644 0.53026256 -0.000826 0.00216 -0.000014 0.002457 0.004927 0.002827 -0.001939 0.002691
2333 3.930873 7.63018 2 -0.02945478 -1.25480052 0.46286209 -0.003433 0.002443 0.000881 0.002482 -0.004545 0.002536 0.003308 0.00247
2414 22.59848 45.347 2 0.00331969 -1.18269668 0.42451596 0.668502 0.517238 -0.128534 0.05484 -0.059067 0.398194 -0.09264 0.059226
2420 5.467454 10.41729 2 -0.04733629 -1.29413984 0.48378346 -0.004439 0.004546 -0.009854 0.004775 0.000156 0.003165 -0.00301 0.003135
2422 26.78372 57.388132 2 0.0713249 -1.03308522 0.34494987 0.005074 0.00378 -0.006601 0.003249 0.00259 0.006131 0.003185 0.00647
2442 12.3103 25.19418 2 0.02329678 -1.13874709 0.40114277 -0.000612 0.004147 0.005621 0.00481 -0.001601 0.003578 -0.000238 0.004247
2458 2.936615 4.354075 3 -0.01154333 -2.09668411 2.55210567 0.001265 0.001581 -0.002399 0.001593 0.004026 0.002291 -0.000848 0.00226
2498 6.738019 13.060247 2 -0.03085408 -1.25787898 0.46449928 -0.000198 0.003123 0.000328 0.002455 0.005189 0.004564 -0.005176 0.004476
2595 9.18252 14.6136 3 0.06097237 -1.64636159 2.12426302 0.000515 0.002835 -0.005303 0.003689 -0.000528 0.00456 0.00069 0.00517
2612 4.612264 7.573056 3 0.09462598 -1.43737267 1.92570672 0.004708 0.003833 -0.005986 0.003524 -0.000987 0.003773 -0.001464 0.004216
2672 42.99066 88.51658 2 0.02948617 -1.12513042 0.39390118 0.00855 0.001782 0.01571 0.001871 0.012961 0.007481 0.017162 0.003141
2696 44.56445 96.45752 2 0.08222496 -1.00910509 0.3321968 -0.003372 0.003707 -0.014963 0.003186 -0.003299 0.002863 -0.00024 0.003568
2704 2.984151 4.871229 3 0.08824453 -1.47700147 1.96335728 0.001765 0.001203 0.000036 0.001144 -0.000684 0.000729 -0.001031 0.000701
2711 9.024391 17.34095 2 -0.03921772 -1.27627897 0.47428473 0.002977 0.001565 -0.001108 0.001356 0.004465 0.003005 0.002437 0.002967
2739 7.095693 10.107674 3 -0.05034655 -2.33765208 2.78104465 -0.000841 0.005908 -0.008599 0.006634 -0.002913 0.002513 -0.003202 0.002334
2768 11.82913 14.75122 5 -0.00238006 -3.69795814 4.13126793 -0.000344 0.005317 -0.001081 0.004281 -0.006146 0.007026 -0.002985 0.005388
2840 3.679328 7.446267 2 0.01190584 -1.16380715 0.41447016 -0.004403 0.002724 0.001037 0.003443 0.009728 0.005628 0.005345 0.005198
2977 2.788149 4.138284 3 -0.01050625 -2.09024383 2.5459869 -0.001618 0.002927 0.005437 0.00284 0.003802 0.003082 0.001411 0.003629
3022 2.762634 5.053618 2 -0.08536238 -1.37779723 0.52827398 0.002072 0.002523 -0.001203 0.002412 -0.002868 0.003812 -0.000276 0.003595
3052 10.129652 15.6113 3 0.02743247 -1.85464439 2.32214845 0.000115 0.004215 0.001819 0.003887 -0.003539 0.005922 -0.008301 0.004267
3077 4.095826 7.55834 2 -0.07731188 -1.36008613 0.5188549 -0.000514 0.002431 -0.003685 0.002473 0.002125 0.005013 0.009509 0.005126
3196 4.960595 6.883099 4 0.04066633 -2.34387076 2.79907066 0.000426 0.00317 0.006056 0.003298 -0.000134 0.002872 0.002514 0.002943
3214 11.494982 25.089214 2 0.09131159 -0.9891145 0.32156544 -0.003507 0.004663 0.000782 0.004266 NaN 2.0 NaN 2.0
3340 8.954201 13.728066 3 0.02209496 -1.88779028 2.35363972 -0.007112 0.005705 0.002901 0.005509 0.000737 0.00464 -0.005309 0.0049
3384 10.548443 19.915977 2 -0.05597553 -1.31314617 0.49389137 -0.002699 0.002412 0.000935 0.002709 0.00071 0.003037 -0.005306 0.002982
3503 21.186903 31.824729 3 0.00139631 -2.01632894 2.47576179 -0.237471 1.089107 -0.395429 0.128102 NaN 2.0 NaN 2.0
4021 4.932094 7.235276 3 -0.02201437 -2.16170924 2.61388479 -0.001099 0.003196 -0.002345 0.003409 -0.000884 0.002311 0.002208 0.002148
4097 2.790654 4.449108 3 0.06285926 -1.634644 2.11313038 0.000935 0.000693 0.000809 0.000728 -0.002083 0.002314 0.000825 0.002277
4149 9.546987 14.708737 3 0.02711205 -1.85663417 2.3240389 0.007823 0.005815 -0.007645 0.005295 -0.002243 0.005805 -0.000658 0.006381
4246 6.984697 8.756226 5 0.00290399 -3.59148466 4.02632682 0.003652 0.002793 -0.003012 0.002773 NaN 2.0 NaN 2.0
4287 9.61835 13.123087 4 0.0232852 -2.55592053 3.00590609 NaN 2.0 NaN 2.0 -0.003003 0.003077 0.006363 0.002981
4288 6.283774 9.087416 3 -0.03588547 -2.24784879 2.6957243 0.005685 0.003941 -0.007107 0.0036 -0.00496 0.004415 -0.001666 0.004878
4382 2.946517 3.98181 4 0.0135212 -2.67504134 3.12209771 0.000055 0.003664 -0.001795 0.003395 -0.000836 0.005486 -0.002611 0.005634
4435 10.861442 17.868461 3 0.09675187 -1.42417091 1.91316399 -0.001941 0.008458 -0.007289 0.008496 NaN 2.0 NaN 2.0
4504 4.130407 8.119258 2 -0.01713593 -1.22769905 0.44844904 0.001439 0.003143 0.001717 0.003049 -0.003969 0.004627 0.004137 0.004823
4541 8.529043 17.23585 2 0.01042106 -1.16707366 0.41620735 -0.009083 0.003751 0.004087 0.0059 NaN 2.0 NaN 2.0
4657 7.576157 10.431514 4 0.03266551 -2.4414808 2.89428045 0.008271 0.004393 0.002688 0.004506 NaN 2.0 NaN 2.0
4913 6.787968 8.973762 4 -0.00849247 -2.9436081 3.38406036 0.001527 0.003742 -0.001066 0.003521 NaN 2.0 NaN 2.0
