"rowid" "kepid" "kepoi.Name" "koi.period" "koi.period.err1" "koi.period.err2" "koi.duration" "koi.duration.err1" "koi.duration.err2" "koi.depth" "koi.depth.err1" "koi.depth.err2" "koi.ror" "koi.ror.err1" "koi.ror.err2" "koi.srho" "koi.srho.err1" "koi.srho.err2" "koi.prad" "koi.prad.err1" "koi.prad.err2" "koi.insol" "koi.insol.err1" "koi.insol.err2" "koi.steff" "koi.steff.err1" "koi.steff.err2" "koi.slogg" "koi.slogg.err1" "koi.slogg.err2" "koi.srad" "koi.srad.err1" "koi.srad.err2" "koi.smass" "koi.smass.err1" "koi.smass.err2"
424 10290666 K00332.01 5.458498316 9.07e-06 -9.07e-06 4.0346 0.0395 -0.0395 262.9 3.9 -3.9 0.015827 0.000867 -0.001077 0.2821 0.3757 -0.02934 2.18 0.49 -0.33 379.14 230.36 -128.32 5716.0 96.0 -132.0 4.29 0.113 -0.157 1.259 0.285 -0.186 1.126 0.101 -0.107
438 10878263 K00341.02 4.699653236 7.953e-06 -7.953e-06 2.4011 0.0489 -0.0489 462.1 11.0 -11.0 0.021196 0.002068 -0.001594 1.07514 1.65986 -0.75139 2.19 0.4 -0.18 266.3 133.46 -57.75 5523.0 103.0 NaN 4.437 0.078 -0.134 0.946 0.171 -0.078 0.892 0.063 -0.042
461 11568987 K00354.02 7.37862283 3.888e-05 -3.888e-05 3.207 0.134 -0.134 117.8 6.1 -6.1 0.010098 0.000332 -0.000402 1.42559 0.82035 -0.24381 1.06 0.17 -0.05 178.68 75.31 -30.15 5936.0 102.0 -131.0 4.501 0.022 -0.127 0.965 0.147 -0.045 1.075 0.041 -0.081
478 8494142 K00370.02 22.95068896 9.568e-05 -9.568e-05 4.439 0.106 -0.106 138.6 4.3 -4.3 0.01088 0.00021 -0.000365 1.94354 0.43988 -0.53407 2.2 0.06 -0.06 145.5 18.84 -17.02 6144.0 106.0 -106.0 4.022 0.012 -0.012 1.85 0.05 -0.05 1.319 0.101 -0.101
534 5791986 K00413.01 15.22895698 2.008e-05 -2.008e-05 2.5574 0.0446 -0.0446 1186.2 20.1 -20.1 0.03334 6.3e-05 -0.002136 3.74862 4.46044 -0.22528 2.98 1.16 -0.24 40.31 48.02 -9.67 5460.0 172.0 -143.0 4.553 0.033 -0.251 0.818 0.32 -0.066 0.874 0.093 -0.082
558 10717241 K00430.02 9.3405269 8.417e-05 -8.417e-05 2.593 0.216 -0.216 220.0 20.0 -20.0 0.013578 0.000982 -0.000544 3.7621 2.09394 -1.47509 0.71 0.09 -0.09 8.9 3.57 -2.49 3797.0 98.0 -58.0 4.783 0.075 -0.075 0.48 0.06 -0.06 0.51 0.06 -0.06
600 7440748 K00457.01 4.921354681 3.799e-06 -3.799e-06 1.8648 0.0205 -0.0205 800.1 10.2 -10.2 0.025593 0.000245 -0.000664 5.98091 0.96774 -1.08293 2.07 0.33 -0.16 116.67 61.78 -26.31 5079.0 160.0 -130.0 4.609 0.027 -0.101 0.739 0.12 -0.054 0.817 0.078 -0.089
674 6266741 K00508.01 7.930587745 9.744e-06 -9.744e-06 3.6171 0.0412 -0.0412 831.9 10.8 -10.8 0.027185 0.002532 -0.001022 0.89667 0.53003 -0.611 2.94 0.42 -0.15 140.16 57.71 -24.44 5655.0 107.0 -126.0 4.481 0.03 -0.125 0.99 0.143 -0.049 1.081 0.048 -0.08
702 8806123 K00523.02 36.8568008 0.0001623 -0.0001623 8.674 0.267 -0.267 803.5 20.4 -20.4 0.031101 0.00043 -0.004355 0.05233 0.56174 -0.01652 3.62 1.89 -0.37 30.83 48.08 -9.08 6220.0 156.0 -207.0 4.414 0.061 -0.319 1.066 0.557 -0.108 1.07 0.245 -0.119
728 11823054 K00543.02 3.137848829 7.802e-06 -7.802e-06 1.9148 0.0643 -0.0643 310.8 12.2 -12.2 0.016017 0.000542 -0.000548 3.54077 0.81572 -0.98741 1.33 0.34 -0.1 266.89 208.74 -59.61 5324.0 170.0 -135.0 4.597 0.027 -0.155 0.761 0.193 -0.055 0.84 0.089 -0.09
732 12058931 K00546.02 9.82578435 3.719e-05 -3.719e-05 5.1103 0.0866 -0.0866 475.7 13.2 -13.2 0.021803 0.001639 -0.001829 0.19037 0.43792 -0.04549 2.73 1.64 -0.32 192.75 355.73 -59.94 6215.0 163.0 -195.0 4.397 0.062 -0.343 1.145 0.689 -0.132 1.195 0.253 -0.188
739 4270253 K00551.02 5.6879831 1.252e-05 -1.252e-05 2.2138 0.0587 -0.0587 542.2 18.2 -18.2 0.021293 0.00069 -0.000447 4.45432 0.568 -1.29988 2.19 0.84 -0.18 239.99 267.1 -64.58 5888.0 159.0 -194.0 4.504 0.038 -0.278 0.944 0.357 -0.081 1.037 0.131 -0.128
762 7595157 K00568.02 2.358951515 8.367e-06 -8.367e-06 1.633 0.12 -0.12 98.7 7.0 -7.0 0.008961 0.000615 -0.000244 4.66641 0.83965 -2.10003 0.8 0.24 -0.05 463.37 410.87 -102.6 5438.0 157.0 -139.0 4.574 0.023 -0.204 0.82 0.244 -0.058 0.92 0.066 -0.09
772 8193178 K00572.02 4.93886507 3.661e-05 -3.661e-05 4.372 0.154 -0.154 127.9 6.8 -6.8 0.010501 0.000351 -0.000408 0.4131 0.12257 -0.12489 1.26 0.41 -0.23 451.27 436.69 -181.79 5945.0 166.0 -170.0 4.308 0.168 -0.219 1.099 0.36 -0.199 0.896 0.138 -0.08
776 8355239 K00574.02 10.39990194 4.984e-05 -4.984e-05 3.41 0.113 -0.113 325.6 15.9 -15.9 0.016163 0.000773 -0.00045 2.31395 0.25037 -0.83075 1.33 0.29 -0.1 49.66 34.1 -11.38 5228.0 175.0 -137.0 4.6 0.028 -0.132 0.755 0.163 -0.056 0.836 0.084 -0.093
782 8616637 K00579.01 2.020001021 2.549e-06 -2.549e-06 1.836 0.0318 -0.0318 341.7 6.8 -6.8 0.01663 0.000505 -0.000229 2.77228 0.36431 -0.70227 1.43 0.35 -0.11 467.85 359.58 -104.38 5239.0 171.0 -135.0 4.585 0.026 -0.159 0.785 0.194 -0.056 0.868 0.075 -0.086
822 4832837 K00605.01 2.628113746 1.772e-06 -1.772e-06 1.8548 0.0247 -0.0247 997.9 11.9 -11.9 0.031073 0.000115 -0.002344 1.41056 2.27306 -0.06276 1.9 0.31 -0.31 70.0 64.9 -24.25 3941.0 369.0 -73.0 4.705 0.097 -0.097 0.56 0.09 -0.09 0.58 0.09 -0.09
854 4478168 K00626.02 8.02918943 9.8e-05 -9.8e-05 3.245 0.375 -0.375 70.7 7.2 -7.2 0.00777 0.000369 -0.000568 1.783 0.08916 -1.19273 0.86 0.14 -0.05 207.14 87.5 -36.91 6157.0 92.0 -129.0 4.449 0.029 -0.124 1.014 0.16 -0.055 1.05 0.044 -0.063
856 4563268 K00627.02 4.1653651 1.304e-05 -1.304e-05 3.2895 0.0672 -0.0672 122.6 4.2 -4.2 0.010118 0.000349 -0.000221 1.01057 0.08921 -0.35139 1.18 0.28 -0.05 493.74 306.77 -84.35 6077.0 98.0 -135.0 4.444 0.023 -0.174 1.072 0.25 -0.051 1.165 0.095 -0.094
878 5531694 K00647.01 5.16950177 1.029e-05 -1.029e-05 4.507 0.0482 -0.0482 213.6 3.6 -3.6 0.013544 0.000267 -0.000214 0.46085 0.05638 -0.11399 1.61 0.69 -0.19 526.76 656.12 -168.63 6458.0 162.0 -209.0 4.378 0.082 -0.276 1.089 0.464 -0.13 1.028 0.172 -0.114
928 7509886 K00678.02 4.138536769 6.44e-06 -6.44e-06 2.3093 0.0379 -0.0379 267.7 5.7 -5.7 0.014629 0.000563 -0.000207 2.96587 0.41314 -0.83426 2.49 1.64 -1.11 677.66 1456.96 -490.83 5244.0 180.0 -141.0 4.02 0.481 -0.331 1.56 1.028 -0.695 0.929 0.144 -0.088
930 7515212 K00679.02 16.2583586 0.0002149 -0.0002149 6.955 0.337 -0.337 59.7 4.5 -4.5 0.007021 0.000415 -0.000246 0.39807 0.11387 -0.13455 0.87 0.22 -0.07 82.68 54.65 -19.31 5914.0 98.0 -129.0 4.38 0.06 -0.179 1.141 0.282 -0.097 1.137 0.096 -0.092
943 8480285 K00691.02 16.2254649 0.0001556 -0.0001556 6.493 0.22 -0.22 118.9 6.8 -6.8 0.010008 0.000368 -0.000392 0.48535 0.06467 -0.16332 1.15 0.2 -0.13 83.3 40.91 -22.63 5955.0 114.0 -120.0 4.361 0.104 -0.138 1.053 0.185 -0.117 0.93 0.071 -0.065
1162 5531576 K00837.02 4.14451776 1.336e-05 -1.336e-05 2.3683 0.0945 -0.0945 421.2 19.8 -19.8 0.018407 0.000736 -0.000672 2.49621 0.61098 -0.80827 1.54 0.17 -0.11 144.68 59.04 -33.89 4988.0 161.0 -138.0 4.586 0.028 -0.075 0.766 0.087 -0.057 0.823 0.061 -0.077
1205 6949607 K00870.01 5.912268297 5.983e-06 -5.983e-06 2.4234 0.0311 -0.0311 1062.9 15.5 -15.5 0.03077 4.4e-05 -0.002178 2.04261 1.42284 -1.16916 1.92 0.3 -0.31 27.72 43.57 -10.51 4072.0 720.0 -133.0 4.697 0.101 -0.101 0.57 0.09 -0.09 0.59 0.1 -0.1
1277 8505670 K00912.02 6.66834872 1.898e-05 -1.898e-05 1.912 0.073 -0.073 428.8 18.7 -18.7 0.018574 0.000598 -0.000861 7.39154 1.81736 -2.22577 1.2 0.18 -0.19 28.25 64.42 -10.02 4208.0 1067.0 -111.0 4.681 0.097 -0.097 0.59 0.09 -0.09 0.61 0.1 -0.1
1413 1432789 K00992.02 4.57833333 6.376e-05 -6.376e-05 3.984 0.274 -0.274 149.0 15.1 -15.1 0.011117 0.000731 -0.000656 0.63466 0.01871 -0.36538 1.11 0.43 -0.09 306.24 346.44 -81.45 5880.0 157.0 -190.0 4.518 0.034 -0.283 0.917 0.353 -0.078 1.01 0.112 -0.126
1524 3240158 K01106.01 7.42608998 1.952e-05 -1.952e-05 3.7017 0.0774 -0.0774 482.9 13.9 -13.9 0.02132 0.002428 -0.00112 0.56673 0.63166 -0.43708 2.35 0.95 -0.22 235.02 278.17 -67.17 6225.0 156.0 -209.0 4.461 0.048 -0.287 1.009 0.41 -0.096 1.07 0.197 -0.134
1601 10337517 K01165.02 4.29264638 3.429e-05 -3.429e-05 2.622 0.2 -0.2 62.5 6.2 -6.2 0.007639 0.0001 -0.000752 0.90656 1.39535 -0.03698 0.93 0.31 -0.2 520.87 524.19 -229.57 5775.0 164.0 -140.0 4.267 0.212 -0.221 1.114 0.378 -0.239 0.839 0.142 -0.054
1612 10350571 K01175.02 17.1570874 0.0002516 -0.0002516 11.249 0.359 -0.359 112.7 8.2 -8.2 0.010423 0.001969 -0.000905 0.03698 0.06781 -0.00532 2.04 0.53 -0.52 161.11 114.66 -77.56 5611.0 110.0 -98.0 3.958 0.205 -0.135 1.791 0.463 -0.455 1.062 0.177 -0.131
1662 3939150 K01215.01 17.32417247 6.505e-05 -6.505e-05 8.169 0.102 -0.102 246.7 5.6 -5.6 0.016004 3.7e-05 -0.001641 0.06278 0.18186 -0.00872 2.96 0.73 -0.64 171.81 118.37 -73.65 5941.0 121.0 -113.0 4.032 0.174 -0.129 1.692 0.42 -0.363 1.125 0.187 -0.112
1696 6448890 K01241.02 10.5007334 0.0001781 -0.0001781 13.366 0.402 -0.402 144.2 5.1 -5.1 0.010738 0.000332 -0.000237 0.03356 0.00913 -0.00651 4.96 0.18 -0.18 828.32 133.15 -117.65 4840.0 97.0 -97.0 3.306 0.045 -0.045 4.23 0.15 -0.15 1.32 0.13 -0.13
1728 8564587 K01270.01 5.729328624 5.893e-06 -5.893e-06 1.2501 0.0585 -0.0585 874.1 22.1 -22.1 0.033651 0.000145 -0.004964 2.74529 15.2145 -1.15749 2.91 0.65 -0.22 124.97 87.52 -29.03 5324.0 166.0 -140.0 4.585 0.026 -0.15 0.791 0.179 -0.06 0.884 0.066 -0.098
1743 8628758 K01279.02 9.65185017 5.013e-05 -5.013e-05 4.457 0.131 -0.131 108.4 5.8 -5.8 0.010429 0.001357 -0.000957 0.25901 0.58401 -0.20792 1.17 0.21 -0.11 138.84 69.57 -34.75 5775.0 111.0 -117.0 4.389 0.089 -0.139 1.031 0.185 -0.101 0.95 0.066 -0.061
